name,class_true,class_pred,summary,description,人工判别,说明（关键判别特征）
fontforge,工具,库,Outline and bitmap font editor,"FontForge (former PfaEdit) is a font editor for outline and bitmap
fonts. It supports a range of font formats, including PostScript
(ASCII and binary Type 1, some Type 3 and Type 0), TrueType, OpenType
(Type2) and CID-keyed fonts.",工具,
fontpackages-filesystem,工具,其它,Directories used by font packages,"This package contains the basic directory layout used by font packages,
including the correct permissions for the directories.",库,目录结构
foomatic-db,服务,其它,Database of printers and printer drivers,"This is the database of printers, printer drivers, and driver options
for Foomatic.

The site http://www.openprinting.org/ is based on this database.",服务,数据库
foomatic-db-filesystem,服务,库,Directory layout for the foomatic package,Directory layout for the foomatic package.,库,目录结构
foomatic-db-ppds,服务,工具,PPDs from printer manufacturers,PPDs from printer manufacturers.,服务,
fpc-srpm-macros,库,其它,RPM macros needed by packages built with Free Pascal Compiler,"This package contains RPM macros needed by packages built with the
Free Pascal Compiler. For example, it makes available a macro that
lists all architectures where fpc is available.",库,
fprintd,服务,库,D-Bus service for Fingerprint reader access,D-Bus service to access fingerprint readers.,服务,service
freeipmi,工具,服务,IPMI remote console and system management software,"The FreeIPMI project provides ""Remote-Console"" (out-of-band) and
""System Management Software"" (in-band) based on Intelligent
Platform Management Interface specification.",工具,
freeipmi-bmc-watchdog,工具,库,IPMI BMC watchdog,Provides a watchdog daemon for OS monitoring and recovery.,服务,daemon
freeipmi-ipmidetectd,工具,服务,IPMI node detection monitoring daemon,Provides a tool and a daemon for IPMI node detection.,服务,daemon
freeipmi-ipmiseld,工具,库,IPMI SEL syslog logging daemon,IPMI SEL syslog logging daemon.,服务,daemon
freeradius,服务,工具,High-performance and highly configurable free RADIUS server,"The FreeRADIUS Server Project is a high performance and highly configurable
GPL'd free RADIUS server. The server is similar in some respects to
Livingston's 2.0 server.  While FreeRADIUS started as a variant of the
Cistron RADIUS server, they don't share a lot in common any more. It now has
many more features than Cistron or Livingston, and is much more configurable.

FreeRADIUS is an Internet authentication daemon, which implements the RADIUS
protocol, as defined in RFC 2865 (and others). It allows Network Access
Servers (NAS boxes) to perform authentication for dial-up users. There are
also RADIUS clients available for Web servers, firewalls, Unix logins, and
more.  Using RADIUS allows authentication and authorization for a network to
be centralized, and minimizes the amount of re-configuration which has to be
done when adding or deleting new users.",服务,server
freeradius-krb5,库,服务,Kerberos 5 support for freeradius,This plugin provides the Kerberos 5 support for the FreeRADIUS server project.,服务,都是plugin，可以调整为跟随主包freeradius，作为服务
freeradius-ldap,库,服务,LDAP support for freeradius,This plugin provides the LDAP support for the FreeRADIUS server project.,服务,都是plugin，可以调整为跟随主包freeradius，作为服务
freeradius-mysql,库,服务,MySQL support for freeradius,This plugin provides the MySQL support for the FreeRADIUS server project.,服务,都是plugin，可以调整为跟随主包freeradius，作为服务
freeradius-postgresql,库,服务,Postgresql support for freeradius,This plugin provides the postgresql support for the FreeRADIUS server project.,服务,都是plugin，可以调整为跟随主包freeradius，作为服务
freeradius-rest,库,服务,REST support for freeradius,This plugin provides the REST support for the FreeRADIUS server project.,服务,都是plugin，可以调整为跟随主包freeradius，作为服务
freeradius-sqlite,库,工具,SQLite support for freeradius,This plugin provides the SQLite support for the FreeRADIUS server project.,服务,都是plugin，可以调整为跟随主包freeradius，作为服务
freeradius-unixODBC,库,工具,Unix ODBC support for freeradius,This plugin provides the unixODBC support for the FreeRADIUS server project.,服务,都是plugin，可以调整为跟随主包freeradius，作为服务
freeradius-utils,库,工具,FreeRADIUS utilities,"The FreeRADIUS server has a number of features found in other servers,
and additional features not found in any other server. Rather than
doing a feature by feature comparison, we will simply list the features
of the server, and let you decide if they satisfy your needs.

Support for RFC and VSA Attributes Additional server configuration
attributes Selecting a particular configuration Authentication methods",工具,utilities
python3-freeradius,库,服务,Python 3 support for freeradius,This plugin provides the Python 3 support for the FreeRADIUS server project.,库,python3-
freerdp,工具,库,Free implementation of the Remote Desktop Protocol (RDP),"The xfreerdp & wlfreerdp Remote Desktop Protocol (RDP) clients from the FreeRDP
project.

xfreerdp & wlfreerdp can connect to RDP servers such as Microsoft Windows
machines, xrdp and VirtualBox.",工具,远程登录
fuse3,工具,库,File System in Userspace (FUSE) v3 utilitie,"With FUSE it is possible to implement a fully functional filesystem in a
userspace program. This package contains the FUSE v3 userspace tools to
mount a FUSE filesystem.",工具,utilitie 
fuse-common,工具,其它,Common files for File System in Userspace (FUSE) v2 and v3,Common files for FUSE v2 and FUSE v3.,工具,配置文件，跟随主包fuse3
fuse-exfat,工具,库,Free exFAT file system implementation,"This driver is the first free exFAT file system implementation with write
support. exFAT is a simple file system created by Microsoft. It is intended
to replace FAT32 removing some of it's limitations. exFAT is a standard FS
for SDXC memory cards.",工具,
fusesource-pom,库,工具,Parent POM for FuseSource Maven projects,This is a shared POM parent for FuseSource Maven projects,库,
fwupdate-efi,工具,服务,UEFI binaries used by libfwup,UEFI binaries used by libfwup.,工具,
fwupdate-libs,库,服务,Library to manage UEFI firmware updates,Library to allow for the simple manipulation of UEFI firmware updates.,库,#NAME?
fxload,工具,库,A helper program to download firmware into FX and FX2 EZ-USB devices,"This program is conveniently able to download firmware into FX and FX2
EZ-USB devices, as well as the original AnchorChips EZ-USB.  It is
intended to be invoked by udev scripts when the unprogrammed device
appears on the bus.",工具,program
galera,库,工具,Synchronous multi-master wsrep provider (replication engine),"Galera is a fast synchronous multi-master wsrep provider (replication engine)
for transactional databases and similar applications. For more information
about wsrep API see http://launchpad.net/wsrep. For a description of Galera
replication engine see http://www.codership.com.",库,
gcc-c++,工具,库,C++ support for GCC,"This package adds C++ support to the GNU Compiler Collection.
It includes support for most of the current C++ specification,
including templates and exception handling.",工具,c++编译器
gcc-gdb-plugin,工具,库,GCC plugin for GDB,This package contains GCC plugin for GDB C expression evaluation.,工具,gdb插件
gcc-offload-nvptx,工具,库,Offloading compiler to NVPTX,"The gcc-offload-nvptx package provides offloading support for
NVidia PTX.  OpenMP and OpenACC programs linked with -fopenmp will
by default add PTX code into the binaries, which can be offloaded
to NVidia PTX capable devices if available.",工具,编译器
