pkg,summary,description,summary_bert_key,description_bert_key,summary_textrank_key,description_textrank_key,predict_label,real_label
rubygem-bundler,"
Library and utilities to manage a Ruby application's gem dependencies.","
Bundler manages an application's dependencies through its entire life, across
many machines, systematically and repeatably.",ruby gem dependencies ,bundler dependencies application manages life ,utility manage ruby ,entire across life dependency many ,1,none
relaxngDatatype,"
RELAX NG Datatype API.","
RELAX NG is a public space for test cases and other ancillary software
related to the construction of the RELAX NG language and its
implementations.",datatype ng api ,relax ng language implementations cases ,relax datatype ,relax relate software ancillary case ,1,none
python-pytest-mock,"
Thin-wrapper around the mock package for easier use with py.test.","
This plugin installs a mocker fixture which is a thin-wrapper around the
patching API provided by the mock package, but with the benefit of not having
to worry about undoing patches at the end of a test.",mock py wrapper ,patching mocker patches plugin fixture ,around mock package ,benefit thin-wrapper around package patching ,1,none
python-lit,"
LLVM lit test runner for Python 3.","
lit is a tool used by the LLVM project for executing its test suites.",llvm python lit ,lit llvm tool suites test ,llvm light test ,llvm project execute test tool ,1,none
php-pecl-xdebug,"
PECL package for debugging PHP scripts.","
The Xdebug extension helps you debugging your script by providing a lot of
valuable debug information. The debug information that Xdebug can provide
includes the following:

* stack and function traces in error messages with:
  o full parameter display for user defined functions
  o function name, file name and line indications
  o support for member functions
* memory allocation
* protection for infinite recursions

Xdebug also provides:

* profiling information for PHP scripts
* code coverage analysis
* capabilities to debug your scripts interactively with a debug client

Documentation: https://xdebug.org/docs/",pecl php debugging ,xdebug debugging scripts php profiling ,pecl package debug ,function debug script provide xdebug ,1,none
php-pecl-xdebug3,"
Provides functions for function traces and profiling.","
The Xdebug extension helps you debugging your script by providing a lot of
valuable debug information. The debug information that Xdebug can provide
includes the following:

* stack and function traces in error messages with:
  o full parameter display for user defined functions
  o function name, file name and line indications
  o support for member functions
* memory allocation
* protection for infinite recursions

Xdebug also provides:

* profiling information for PHP scripts
* code coverage analysis
* capabilities to debug your scripts interactively with a debug client

Documentation: https://xdebug.org/docs/",profiling traces functions ,xdebug debugging scripts php profiling ,provides function trace ,function debug script provide xdebug ,1,none
perl-Try-Tiny,"
Minimal try/catch with proper localization of $@.","
This module provides bare bones try/catch statements that are designed to
minimize common mistakes with eval blocks, and NOTHING else.

This is unlike TryCatch, which provides a nice syntax and avoids adding
another call stack layer, and supports calling return from the try block to
return from the parent subroutine. These extra features come at a cost of a
few dependencies, namely Devel::Declare and Scope::Upper that are occasionally
problematic, and the additional catch filtering uses Moose type constraints,
which may not be desirable either.",catch localization minimal ,eval catch subroutine avoids trycatch ,minimal try/catch proper ,block provide call dependency moose ,1,none
perl-File-pushd,"
Change directory temporarily for a limited scope.","
File::pushd does a temporary chdir that is easily and automatically reverted,
similar to pushd in some Unix command shells. It works by creating an object
that caches the original working directory. When the object is destroyed, the
destructor calls chdir to revert to the original working directory. By storing
the object in a lexical variable with a limited scope, this happens
automatically at the end of the scope.",directory scope temporarily ,destructor chdir directory pushd caches ,change directory temporarily ,object revert chdir automatically original ,1,none
perl-App-cpanminus,"
Get, unpack, build and install CPAN modules.","
Why? It's dependency free, requires zero configuration, and stands alone
but it's maintainable and extensible with plug-ins and friendly to shell
scripting. When running, it requires only 10 MB of RAM.",cpan modules build ,ram dependency shell free extensible ,unpack build install ,configuration extensible stand maintainable alone ,1,none
llvm,"
LLVM's modified googletest sources.
LLVM shared libraries.
LLVM static libraries.
The Low Level Virtual Machine.","
LLVM's modified googletest sources.
Shared libraries for the LLVM compiler infrastructure.
Static libraries for the LLVM compiler infrastructure.
LLVM is a compiler infrastructure designed for compile-time, link-time,
runtime, and idle-time optimization of programs from arbitrary programming
languages. The compiler infrastructure includes mirror sets of programming
tools as well as libraries with equivalent functionality.",llvm googletest libraries ,llvm compiler libraries googletest static ,llvm level virtual ,infrastructure programming llvm library compiler ,1,none
llvm-toolset,"
Package that installs llvm-toolset.","
This is the main package for llvm-toolset.",llvm toolset package ,llvm toolset package main ,package install llvm-toolset ,main package llvm-toolset ,1,none
lld,"
The LLVM Linker.
LLD shared libraries.","
The LLVM project linker.
Shared libraries for LLD.",llvm libraries linker ,llvm libraries lld linker project ,llvm linker share ,llvm project linker shared library ,1,none
